date,lon,lan,depth,scale
2015-09-01,120.39,23.03,23.7,3.7
2015-09-01,119.63,22.47,47.3,4.8
2015-09-01,121.55,23.91,20.3,5.5
2015-09-01,121.47,23.92,14.9,3.2
2015-09-02,122.31,24.05,5.6,4.8
2015-09-02,121.45,23.9,13.7,3.2
2015-09-02,121.42,22.59,16.9,4.2
2015-09-02,122,24.87,7.3,4.3
2015-09-02,121.99,24.87,10.8,3.7
2015-09-02,122,24.85,6.1,4.5
2015-09-03,121.48,23.88,15.5,3.4
2015-09-04,122.92,24.09,15.5,4.7
2015-09-05,121.83,24.26,13.2,3.9
2015-09-05,121.84,24.27,13.3,3.6
2015-09-07,121,21.6,23.3,4.9
2015-09-08,121.89,24.44,20.3,3.7
2015-09-08,121.38,22.4,15.2,4.4
2015-09-10,121.09,24.69,3.1,3
2015-09-10,122.02,24.87,10.1,4
2015-09-10,121.98,24.87,5.8,3.5
2015-09-10,121.79,24.26,6,4.7
2015-09-10,121.78,24.26,18.8,3.7
2015-09-10,121.77,24.27,23.5,3.8
2015-09-10,121.81,24.27,18.4,3.6
2015-09-11,121.81,24.27,15.4,3.9
2015-09-13,121.29,23.25,6.8,3.6
2015-09-13,121.45,23.94,21.8,3.4
2015-09-15,121.44,24.01,15.8,3.4
2015-09-15,121.8,24.28,7.6,3.9
2015-09-16,120.96,23.02,14.1,3.8
2015-09-16,120.93,23.01,11.5,3.7
2015-09-16,121.8,24.27,17.6,4.7
2015-09-16,121.81,24.28,15.3,5.6
2015-09-16,121.83,24.26,17.9,4.3
2015-09-16,121.82,24.27,20.3,4.1
2015-09-16,121.74,24.15,8.6,3.8
2015-09-16,121.84,24.27,20.1,3.8
2015-09-16,121.81,24.25,14.6,4
2015-09-16,121.81,24.28,18.5,4.4
2015-09-16,121.82,24.27,20.1,3.7
2015-09-16,121.78,24.27,8.4,3.7
2015-09-16,121.8,24.25,12.9,3.7
2015-09-16,121.83,24.26,15.9,4.3
2015-09-16,121.81,24.28,18,3.8
2015-09-16,121.82,24.28,18.4,3.9
2015-09-16,121.86,24.26,14.5,3.6
2015-09-16,121.8,24.27,18,4
2015-09-16,121.8,24.26,18.4,4.1
2015-09-16,121.83,24.28,19.9,4
2015-09-16,121.77,24.23,18,3.6
2015-09-16,121.78,24.24,16.3,3.7
2015-09-16,121.86,24.31,17.8,5.5
2015-09-16,121.81,24.26,21.5,3.8
2015-09-16,121.81,24.26,22.1,3.7
2015-09-16,121.82,24.29,18.8,4.4
2015-09-16,121.81,24.29,17.9,4.3
2015-09-16,121.84,24.25,15.6,3.8
2015-09-16,121.79,24.23,20.6,3.7
2015-09-16,121.83,24.26,19.8,4
2015-09-16,121.77,24.28,20.7,4.5
2015-09-16,121.77,24.29,20.2,3.7
2015-09-17,121.82,24.3,20.2,3.6
2015-09-17,120.05,23,13.7,4.5
2015-09-17,121.84,24.29,22.4,3.7
2015-09-17,121.81,24.24,18.2,4
2015-09-17,121.87,24.29,20.4,3.5
2015-09-17,121.86,24.23,15.3,4
2015-09-17,121.82,24.29,16.3,4.1
2015-09-17,121.78,24.28,19.9,3.6
2015-09-17,121.84,24.25,23,3.6
2015-09-18,121.8,24.31,14.5,3.5
2015-09-18,121.85,24.25,14.6,4
2015-09-18,121.81,24.11,7,4.2
2015-09-19,121.82,24.29,18.9,3.9
2015-09-20,121.84,24.28,20.8,3.8
2015-09-22,122.05,24.1,41.2,4.4
2015-09-22,120.75,23.17,4.8,3.4
2015-09-23,121.75,24.3,19.6,4
2015-09-23,121.84,24.28,14,4
2015-09-24,120.73,22.62,21.1,4.5
2015-09-24,121.79,24.34,20.1,3.5
2015-09-25,121.75,24.36,20.4,3.6
2015-09-25,121.3,22.72,33.1,4.3
2015-09-26,121.45,23.9,15.3,3.3
2015-09-26,120.95,24.37,5,3.3
2015-09-28,121.63,24.32,22.9,3.8
2015-09-30,121.6,24,17.9,5.1
2015-09-30,121.54,24.11,16.3,3.7
2015-09-30,120.3,23.17,28.7,3.9
