TEAM,POSITION,KDA (RATIO),KILLS (TOTAL),DEATHS (TOTAL),ASSISTS (TOTAL),KILL PARTICIPATION,CS (PER MINUTE),CS (TOTAL),MINUTES PLAYED,GAMES PLAYED,
Time,IG,ADC,22,10,1,12,75.90%,8.7,405,47,1
Bang,SKT,ADC,15.8,83,12,107,69.30%,8.9,"4,807",539,16
Easyhoon,SKT,Mid,11.3,15,4,30,65.20%,9.5,"1,300",137,4
Arrow,KT,ADC,8.9,50,12,57,74.30%,8.7,"3,367",385,10
Faker,SKT,Mid,7.3,55,18,77,64.40%,8.3,"3,337",403,12
Wolf,SKT,Support,7.3,7,26,183,69.30%,1.2,625,539,16
Maple,FW,Mid,6.7,47,16,60,76.40%,8.4,"3,501",417,10
Hojin,KOO,Jungle,6.6,38,28,147,67.00%,2.7,"1,657",605,17
KurO,KOO,Mid,6.4,83,32,123,74.60%,8.1,"4,896",605,17
Bengi,SKT,Jungle,5.8,36,31,144,65.70%,2.9,"1,566",539,16
Febiven,FNC,Mid,5.3,51,23,71,64.90%,9.4,"4,064",431,12
AN,AHQ,ADC,5.2,44,16,39,66.40%,9.2,"3,293",358,10
PraY,KOO,ADC,5.1,65,36,119,66.70%,8.5,"5,130",605,17
Piccaboo,KT,Support,5,4,22,106,76.40%,1.4,544,385,10
Deft,EDG,ADC,4.9,31,16,47,71.60%,8.9,"2,561",289,9
Score,KT,Jungle,4.7,13,20,81,65.30%,3.4,"1,292",385,10
Niels,OG,ADC,4.6,62,25,54,81.70%,9.1,"4,796",527,13
NL,FW,ADC,4.6,45,22,56,77.70%,8.3,"3,133",376,9
SwordArt,FW,Support,4.6,5,23,100,75.00%,0.6,253,417,10
Nagne,KT,Mid,4.5,33,20,56,61.80%,8.8,"3,395",385,10
MaRin,SKT,Top,4.4,78,35,76,56.20%,8.8,"4,729",539,16
Steak,FW,Top,4.4,18,22,78,68.60%,6.2,"2,577",417,10
Karsa,FW,Jungle,4.3,24,24,79,73.60%,3.4,"1,416",417,10
Meiko,EDG,Support,4.3,7,20,78,78.00%,0.8,226,289,9
Clearlove,EDG,Jungle,4.2,17,21,72,81.70%,3.2,931,289,9
Smeb,KOO,Top,4.1,81,43,97,64.50%,7.8,"4,713",605,17
PawN,EDG,Mid,4.1,26,21,60,78.90%,8.2,"2,380",289,9
Rekkles,FNC,ADC,4.1,51,32,80,69.70%,9.3,"3,990",431,12
Flame,LGD,Top,4,11,6,13,45.30%,6,703,117,3
Rookie,IG,Mid,3.9,22,13,29,72.90%,9,"1,951",217,6
Hjarnan,H2K,ADC,3.8,25,13,24,75.40%,7.9,"1,505",190,6
Ssumday,KT,Top,3.7,44,26,53,67.40%,7.9,"3,039",385,10
GorillA,KOO,Support,3.6,9,56,193,73.20%,1.1,645,605,17
KAKAO,IG,Jungle,3.6,10,15,44,77.10%,3.2,691,217,6
Bjergsen,TSM,Mid,3.5,22,16,34,87.50%,8.7,"2,174",250,6
Kami,PNG,Mid,3.4,17,16,38,84.60%,8.3,"1,796",217,6
Reignover,FNC,Jungle,3.3,31,37,92,65.40%,3.3,"1,413",431,12
YellOwStaR,FNC,Support,3.3,8,37,115,65.40%,1.4,587,431,12
Odoamne,H2K,Top,3.2,17,11,18,53.80%,7.9,"1,510",190,6
Zz1tai,IG,Top,3.1,12,17,40,74.30%,6.9,"1,491",217,6
Dioud,PNG,Support,3.1,4,18,51,84.60%,1.1,235,217,6
GODV,LGD,Mid,3.1,21,19,37,71.60%,8.6,"1,948",226,6
brTT,PNG,ADC,3,23,17,28,78.50%,7.2,"1,559",217,6
kaSing,H2K,Support,3,8,18,46,83.10%,0.9,177,190,6
Westdoor,AHQ,Mid,3,28,24,44,57.60%,7.8,"2,784",358,10
AmazingJ,EDG,Top,2.9,14,14,26,50.60%,7,"1,295",186,6
Sneaky,C9,ADC,2.8,20,19,34,65.10%,7.9,"1,827",232,7
imp,LGD,ADC,2.8,35,21,24,72.80%,8.9,"2,016",226,6
